,id_x,name_x,artists_x,new_identifier,popularity_x,duration_ms_x,explicit_x,id_artists_x,release_date_x,danceability_x,energy_x,key_x,loudness_x,mode_x,speechiness_x,acousticness_x,instrumentalness_x,liveness_x,valence_x,tempo_x,time_signature_x,Labels,Labels_list,id_y,name_y,artists_y,popularity_y,duration_ms_y,explicit_y,id_artists_y,release_date_y,danceability_y,energy_y,key_y,loudness_y,mode_y,speechiness_y,acousticness_y,instrumentalness_y,liveness_y,valence_y,tempo_y,time_signature_y,genres,artists_list
27,0ffe3xtnnDpGxRE3lHIwhD,jump for joy,hot lips page,jump for joy_hot lips page,0,200067,0,['3GAp4nVDIMnsYFZnD9DWSz'],1924,0.626,0.452,7,-12.341,0,0.0703,0.969,0.0247,0.119,0.835,125.296,4,"power, tension, sadness","['power', 'tension', 'sadness']",6LUaIxp8NBLI50TZhwKB4U,jump for joy,hot lips page,1,202107,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.63,0.445,7,-12.331,0,0.0771,0.969,0.0369,0.118,0.838,124.99,4,"['big band', 'jazz blues', 'jazz trumpet', 'stride', 'swing']",['hot lips page']
31,1kiM0TXsd0veieeuhlw69G,now they call it swing - take 1,billie holiday,now they call it swing - take 1_billie holiday,10,186373,0,['1YzCsTRb22dQkh9lghPIrp'],1933,0.577,0.252,5,-13.473,1,0.0682,0.814,0.0,0.074,0.814,149.374,4,sadness,['sadness'],6MNQukyVgzEuGooGDYpCEP,now they call it swing - take 1,billie holiday,4,186373,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.577,0.252,5,-13.473,1,0.0682,0.814,0.0,0.074,0.814,149.374,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",['billie holiday']
32,6OFhwUIW1UPG0qmF5Zlr5L,i'm confessin',artie shaw,i'm confessin'_artie shaw,2,201067,0,['5wam12nGWDBIrLDV78TNSF'],1937,0.478,0.203,10,-16.632,1,0.0482,0.964,0.659,0.399,0.681,112.964,4,"power, tension","['power', 'tension']",6OFhwUIW1UPG0qmF5Zlr5L,i'm confessin',artie shaw,2,201067,0,['5wam12nGWDBIrLDV78TNSF'],1937,0.478,0.203,10,-16.632,1,0.0482,0.964,0.659,0.399,0.681,112.964,4,"['adult standards', 'big band', 'jazz clarinet', 'lounge', 'stride', 'swing', 'vocal jazz']",['artie shaw']
33,6R80CS19naknZ6CYSPHz1R,"take your shoes off, baby",hot lips page,"take your shoes off, baby_hot lips page",3,170533,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.648,0.229,0,-12.844,1,0.0577,0.856,0.000132,0.293,0.779,77.625,4,"power, tension, sadness","['power', 'tension', 'sadness']",6R80CS19naknZ6CYSPHz1R,"take your shoes off, baby",hot lips page,3,170533,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.648,0.229,0,-12.844,1,0.0577,0.856,0.000132,0.293,0.779,77.625,4,"['big band', 'jazz blues', 'jazz trumpet', 'stride', 'swing']",['hot lips page']
34,6RFHRWpkwPrgp1rRMh27sI,no frevo do amor,carmen miranda,no frevo do amor_carmen miranda,0,178600,0,['7iSJhi05cFvFylzw921y3H'],1937,0.708,0.427,3,-12.785,1,0.0476,0.84,0.249,0.174,0.553,141.877,4,"power, sadness","['power', 'sadness']",6RFHRWpkwPrgp1rRMh27sI,no frevo do amor,carmen miranda,0,178600,0,['7iSJhi05cFvFylzw921y3H'],1937,0.708,0.427,3,-12.785,1,0.0476,0.84,0.249,0.174,0.553,141.877,4,"['samba', 'velha guarda']",['carmen miranda']
36,6hL7g9HT5H4OMUSkaoGE0w,some of life,shanta apte,some of life_shanta apte,0,208173,0,['5cOYAkL1Zm9aLBZEI1nWWJ'],1937-12-01 00:00:00,0.379,0.133,4,-11.189,0,0.0663,0.983,3.93e-05,0.0952,0.187,77.496,3,"power, tension","['power', 'tension']",3Tq20SzTxChJB3Kegw9CV0,some of life,shanta apte,0,208173,0,['5cOYAkL1Zm9aLBZEI1nWWJ'],1937-01-01,0.382,0.133,0,-11.189,1,0.064,0.983,3.94e-05,0.0952,0.188,79.747,3,['classic bollywood'],['shanta apte']
45,6y7V2jg8MH3Z7lkY543eep,who wants love?,billie holiday,who wants love?_billie holiday,14,152000,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.705,0.218,7,-11.35,0,0.0451,0.952,0.0,0.188,0.626,139.671,4,tenderness,['tenderness'],6jcMHOCEAB0HQ1XiR8V0GS,who wants love?,billie holiday,4,152267,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.705,0.23,7,-10.82,0,0.0433,0.951,0.0,0.189,0.639,139.587,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",['billie holiday']
51,3wBjOlmacuiwDmTCbr8EWE,they can't take that away from me - live,"billie holiday, count basie","they can't take that away from me - live_billie holiday, count basie",11,204560,0,"['1YzCsTRb22dQkh9lghPIrp', '2jFZlvIea42ZvcCw4OeEdA']",1933,0.505,0.299,10,-10.107,1,0.0354,0.961,0.000738,0.323,0.62,95.119,4,"nostalgia, power, tension, sadness","['nostalgia', 'power', 'tension', 'sadness']",7mkZN3JxvqZq0cN2Isu397,they can't take that away from me - live,"billie holiday, count basie",4,204160,0,"['1YzCsTRb22dQkh9lghPIrp', '2jFZlvIea42ZvcCw4OeEdA']",1936,0.501,0.295,10,-10.104,1,0.0423,0.961,0.00112,0.324,0.591,95.849,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']","['billie holiday', ' count basie']"
55,0HeuuJsjA4X4YOREiF80By,rose room (feat. benny goodman & charlie christian),"benny goodman sextet, benny goodman, charlie christian","rose room (feat. benny goodman & charlie christian)_benny goodman sextet, benny goodman, charlie christian",16,168253,0,"['33N6sGOKJwLGOnq31ZmEl1', '1pBuKaLHJlIlqYxQQaflve', '0WdDpEeDIDmtYh5sqRrdI6']",1928,0.728,0.249,8,-12.301,1,0.0414,0.986,0.304,0.0905,0.874,146.227,4,"power, tension, sadness","['power', 'tension', 'sadness']",71Izujs3JNObaCwMs3iPNh,rose room (feat. benny goodman & charlie christian),"benny goodman sextet, benny goodman, charlie christian",0,167680,0,"['33N6sGOKJwLGOnq31ZmEl1', '1pBuKaLHJlIlqYxQQaflve', '0WdDpEeDIDmtYh5sqRrdI6']",1937,0.729,0.213,8,-13.841,1,0.0411,0.986,0.351,0.0904,0.864,143.782,4,"['bebop', 'big band', 'stride', 'swing']","['benny goodman sextet', ' benny goodman', ' charlie christian']"
64,2jOeSviYsdAy2QpHsPkZBg,without your love - take 1,billie holiday,without your love - take 1_billie holiday,18,170973,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.717,0.212,5,-11.794,1,0.0554,0.936,2.33e-06,0.742,0.773,118.685,4,"power, tension","['power', 'tension']",71cBtkNShka7ubuLfrJJvK,without your love - take 1,billie holiday,4,171240,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.745,0.219,5,-11.547,1,0.047,0.885,0.0,0.675,0.785,118.725,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",['billie holiday']
66,7CShHdqNACCQ276T8T46bR,yours and mine (with teddy wilson & his orchestra),"billie holiday, teddy wilson","yours and mine (with teddy wilson & his orchestra)_billie holiday, teddy wilson",4,195400,0,"['1YzCsTRb22dQkh9lghPIrp', '0tg5uVI4VjzZOFzBryJZii']",1937,0.758,0.254,8,-11.88,1,0.0445,0.859,0.00109,0.171,0.468,123.542,4,"nostalgia, power, tension, sadness","['nostalgia', 'power', 'tension', 'sadness']",7CShHdqNACCQ276T8T46bR,yours and mine (with teddy wilson & his orchestra),"billie holiday, teddy wilson",4,195400,0,"['1YzCsTRb22dQkh9lghPIrp', '0tg5uVI4VjzZOFzBryJZii']",1937,0.758,0.254,8,-11.88,1,0.0445,0.859,0.00109,0.171,0.468,123.542,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']","['billie holiday', ' teddy wilson']"
67,7GyGDJhHWJl0R0Ug0TLiQK,indiana,hot lips page,indiana_hot lips page,0,170867,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.564,0.38,9,-13.764,0,0.185,0.926,0.145,0.207,0.873,199.176,4,"power, tension, sadness","['power', 'tension', 'sadness']",7GyGDJhHWJl0R0Ug0TLiQK,indiana,hot lips page,0,170867,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.564,0.38,9,-13.764,0,0.185,0.926,0.145,0.207,0.873,199.176,4,"['big band', 'jazz blues', 'jazz trumpet', 'stride', 'swing']",['hot lips page']
71,2F4gYFqzPvxTZ3CArLYkTa,says my heart - take 1,billie holiday,says my heart - take 1_billie holiday,12,168093,0,['1YzCsTRb22dQkh9lghPIrp'],1933,0.606,0.254,5,-13.111,1,0.0573,0.971,0.000642,0.188,0.602,131.883,4,"nostalgia, power, tension, sadness","['nostalgia', 'power', 'tension', 'sadness']",7HJ6k20mE6Q2rEszelKBBQ,says my heart - take 1,billie holiday,4,168093,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.606,0.254,5,-13.111,1,0.0573,0.971,0.000642,0.188,0.602,131.883,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",['billie holiday']
72,7HY8wFI8rDuLF83WEfkm0Z,"baby, look at you",hot lips page,"baby, look at you_hot lips page",0,183267,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.555,0.35,5,-12.418,1,0.0451,0.984,0.000738,0.214,0.769,120.607,4,"power, tension","['power', 'tension']",7HY8wFI8rDuLF83WEfkm0Z,"baby, look at you",hot lips page,0,183267,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.555,0.35,5,-12.418,1,0.0451,0.984,0.000738,0.214,0.769,120.607,4,"['big band', 'jazz blues', 'jazz trumpet', 'stride', 'swing']",['hot lips page']
76,44217Pw0Go5CUnLQ3O6ULv,having myself a time - take 2,billie holiday,having myself a time - take 2_billie holiday,10,152080,0,['1YzCsTRb22dQkh9lghPIrp'],1933,0.649,0.267,10,-15.199,1,0.0664,0.917,0.0,0.297,0.585,109.547,4,"nostalgia, power, tension, sadness","['nostalgia', 'power', 'tension', 'sadness']",7I42KU8QFe1s6To9IOg6Zq,having myself a time - take 2,billie holiday,3,152080,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.649,0.267,10,-15.199,1,0.0664,0.917,0.0,0.297,0.585,109.547,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",['billie holiday']
85,5qRftTkYXvknVgnlPr7WyK,"me, myself and i - take 2",billie holiday,"me, myself and i - take 2_billie holiday",19,155200,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.686,0.309,6,-9.778,0,0.0681,0.929,3.49e-06,0.285,0.776,156.146,4,power,['power'],7JexE4guQLwVX9qXEKgu4r,"me, myself and i - take 2",billie holiday,4,155400,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.663,0.327,6,-9.627,0,0.0717,0.918,3.13e-06,0.317,0.755,156.131,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",['billie holiday']
86,7KyeEr0K0ii5tFu8Tq5Z1h,tear it down,the 1937 flood,tear it down_the 1937 flood,0,174520,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.7,0.474,7,-7.28,1,0.122,0.675,0.0,0.438,0.848,114.939,4,"power, tension","['power', 'tension']",7KyeEr0K0ii5tFu8Tq5Z1h,tear it down,the 1937 flood,0,174520,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.7,0.474,7,-7.28,1,0.122,0.675,0.0,0.438,0.848,114.939,4,"['jug band', 'string band']",['the 1937 flood']
89,7d3cMxczmwWKWdV9ZZMWEZ,(i've got a gal in) kalamazoo,glenn miller,(i've got a gal in) kalamazoo_glenn miller,0,194560,0,['2aAHdB5HweT3mFcRzm0swc'],1937,0.749,0.263,6,-12.8,1,0.0347,0.876,0.000154,0.23,0.762,131.379,4,"tension, sadness","['tension', 'sadness']",1twPe9UfYbbnYS57ku0AWl,(i've got a gal in) kalamazoo,glenn miller,37,194800,0,['2aAHdB5HweT3mFcRzm0swc'],1939,0.737,0.272,6,-10.529,1,0.0336,0.919,0.000421,0.215,0.758,131.388,4,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']",['glenn miller']
90,7drDUXnUvjqgcsqOf2IaRR,green rolling hills of west virginia (live),the 1937 flood,green rolling hills of west virginia (live)_the 1937 flood,0,271133,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.261,0.329,0,-12.618,1,0.0347,0.614,0.0,0.284,0.77,174.988,4,"power, tension, sadness","['power', 'tension', 'sadness']",7drDUXnUvjqgcsqOf2IaRR,green rolling hills of west virginia (live),the 1937 flood,0,271133,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.261,0.329,0,-12.618,1,0.0347,0.614,0.0,0.284,0.77,174.988,4,"['jug band', 'string band']",['the 1937 flood']
91,7faEYkI582uEtdWq7M5o5P,please don't swat a fly (live),the 1937 flood,please don't swat a fly (live)_the 1937 flood,0,135973,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.495,0.465,0,-11.381,1,0.0408,0.623,0.0,0.194,0.905,121.392,3,"nostalgia, power, tension, sadness","['nostalgia', 'power', 'tension', 'sadness']",7faEYkI582uEtdWq7M5o5P,please don't swat a fly (live),the 1937 flood,0,135973,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.495,0.465,0,-11.381,1,0.0408,0.623,0.0,0.194,0.905,121.392,3,"['jug band', 'string band']",['the 1937 flood']
92,7jqFBYWcqxW8n4UHa7ytiG,st. james infirmary,hot lips page,st. james infirmary_hot lips page,3,192493,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.587,0.18,5,-12.349,0,0.0619,0.885,0.00095,0.106,0.64,118.688,4,"nostalgia, tension, sadness","['nostalgia', 'tension', 'sadness']",7jqFBYWcqxW8n4UHa7ytiG,st. james infirmary,hot lips page,3,192493,0,['3GAp4nVDIMnsYFZnD9DWSz'],1937,0.587,0.18,5,-12.349,0,0.0619,0.885,0.00095,0.106,0.64,118.688,4,"['big band', 'jazz blues', 'jazz trumpet', 'stride', 'swing']",['hot lips page']
93,7m4cs2da8on2FXC6IWJ8Wr,walk right in,the 1937 flood,walk right in_the 1937 flood,0,137342,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.582,0.437,7,-11.094,1,0.0484,0.834,0.0,0.134,0.831,74.003,4,"power, tension, sadness","['power', 'tension', 'sadness']",7m4cs2da8on2FXC6IWJ8Wr,walk right in,the 1937 flood,0,137342,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.582,0.437,7,-11.094,1,0.0484,0.834,0.0,0.134,0.831,74.003,4,"['jug band', 'string band']",['the 1937 flood']
97,7ucIu4wz2l40mizHebkmyr,born to love,billie holiday,born to love_billie holiday,15,158467,0,['1YzCsTRb22dQkh9lghPIrp'],1933,0.683,0.287,3,-9.947,1,0.0503,0.927,0.0,0.363,0.651,128.294,4,tenderness,['tenderness'],7nS82WsuTGcBLFgSMv4KBU,born to love,billie holiday,4,158467,0,['1YzCsTRb22dQkh9lghPIrp'],1937,0.683,0.287,3,-9.947,1,0.0503,0.927,0.0,0.363,0.651,128.294,4,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",['billie holiday']
98,7pBTHMNIbeRheuguVvLtY0,my dear companion,the 1937 flood,my dear companion_the 1937 flood,0,235713,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.416,0.202,0,-15.507,1,0.0326,0.794,0.00155,0.364,0.647,81.436,4,"solemnity, power, tension, sadness","['solemnity', 'power', 'tension', 'sadness']",7pBTHMNIbeRheuguVvLtY0,my dear companion,the 1937 flood,0,235713,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.416,0.202,0,-15.507,1,0.0326,0.794,0.00155,0.364,0.647,81.436,4,"['jug band', 'string band']",['the 1937 flood']
99,7qx8VSDxuKshDB83hmWhel,ball playing blues,tommy griffin,ball playing blues_tommy griffin,0,193654,0,['6N7kcWNKgsDvzVOLvE6YcA'],1937-03-04 00:00:00,0.452,0.263,0,-12.882,1,0.119,0.995,0.335,0.614,0.375,91.771,4,"power, tension, sadness","['power', 'tension', 'sadness']",7qx8VSDxuKshDB83hmWhel,ball playing blues,tommy griffin,0,193654,0,['6N7kcWNKgsDvzVOLvE6YcA'],1937-03-04,0.452,0.263,0,-12.882,1,0.119,0.995,0.335,0.614,0.375,91.771,4,['barrelhouse piano'],['tommy griffin']
100,7rOuiFB7fNj3Is1CaoTgyE,don't let your deal go down,the 1937 flood,don't let your deal go down_the 1937 flood,0,174133,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.604,0.493,7,-7.979,1,0.0308,0.765,9.78e-06,0.247,0.811,116.37,4,"nostalgia, power, tension, sadness","['nostalgia', 'power', 'tension', 'sadness']",7rOuiFB7fNj3Is1CaoTgyE,don't let your deal go down,the 1937 flood,0,174133,0,['6vId2LK5gk2yvSkXFXKzBh'],1937,0.604,0.493,7,-7.979,1,0.0308,0.765,9.78e-06,0.247,0.811,116.37,4,"['jug band', 'string band']",['the 1937 flood']
101,7vrfqxhccMEPf8bdsOkSyU,jadu dale hai machal machal,asha bhosle,jadu dale hai machal machal_asha bhosle,1,215920,0,['5as8A4G47Ohu9NSWs3Je8U'],1937-12-01 00:00:00,0.441,0.452,10,-12.866,0,0.178,0.97,0.116,0.161,0.929,179.199,3,"power, tension, sadness","['power', 'tension', 'sadness']",7vrfqxhccMEPf8bdsOkSyU,jadu dale hai machal machal,asha bhosle,1,215920,0,['5as8A4G47Ohu9NSWs3Je8U'],1937-12-01,0.441,0.452,10,-12.866,0,0.178,0.97,0.116,0.161,0.929,179.199,3,"['chutney', 'classic bollywood', 'desi pop', 'filmi', 'sufi']",['asha bhosle']
103,7wiGdcHcyDiqPdzVRocKcQ,cherokee,charlie barnet & his orchestra,cherokee_charlie barnet & his orchestra,2,194227,0,['4rBAk0XNC7XnH08pOWq7aU'],1937,0.697,0.355,6,-12.294,1,0.0751,0.804,0.117,0.269,0.87,87.094,4,"power, tension","['power', 'tension']",34y2tmIcjXaaoiJd6YfwSL,cherokee,charlie barnet & his orchestra,0,194480,0,['4rBAk0XNC7XnH08pOWq7aU'],1937,0.706,0.36,6,-12.11,1,0.069,0.793,0.144,0.283,0.854,87.627,4,"['big band', 'swing']",['charlie barnet & his orchestra']
104,0A82C1glZbYFAbuchGEaHr,je te veux,"erik satie, jean wiener","je te veux_erik satie, jean wiener",0,205120,0,"['459INk8vcC0ebEef82WjIK', '5E3DKNk7RA7758N2emg1WV']",1937,0.379,0.0906,1,-24.317,0,0.0364,0.996,0.93,0.222,0.211,61.838,3,"power, tension","['power', 'tension']",0A82C1glZbYFAbuchGEaHr,je te veux,"erik satie, jean wiener",0,205120,0,"['459INk8vcC0ebEef82WjIK', '5E3DKNk7RA7758N2emg1WV']",1937,0.379,0.0906,1,-24.317,0,0.0364,0.996,0.93,0.222,0.211,61.838,3,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']","['erik satie', ' jean wiener']"
105,0SevC4SzaBpiX72WPEleQN,he ain't got rhythm,"alice faye, the ritz brothers","he ain't got rhythm_alice faye, the ritz brothers",0,332283,0,"['7Jr5Krm7sO2as96uMoDfhK', '1BB5OrFeWBl2PoYsn7rF4F']",1937-05-02 00:00:00,0.465,0.707,8,-7.695,1,0.161,0.987,0.00237,0.165,0.775,111.907,4,"power, tension, sadness","['power', 'tension', 'sadness']",0SevC4SzaBpiX72WPEleQN,he ain't got rhythm,"alice faye, the ritz brothers",0,332283,0,"['7Jr5Krm7sO2as96uMoDfhK', '1BB5OrFeWBl2PoYsn7rF4F']",1937-05-02,0.465,0.707,8,-7.695,1,0.161,0.987,0.00237,0.165,0.775,111.907,4,"['torch song', 'vintage hollywood']","['alice faye', ' the ritz brothers']"
